"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"12565",717029.014131461,211591.953041127,1771.78674316406,1,2,2,2,2,2,2,2,2,0,0,0,0,0.155824863916261,0.00487996983578176,0.00236306537763264,0.0986773366773095
"12566",718538.394417569,211591.953041127,1508.65783691406,1,2,2,2,2,2,2,2,2,0,0,0,0,0.348534713014327,0.0049629254829089,0.226226342130224,0.00124910825441043
"12567",720047.774703677,211591.953041127,868.370971679688,1,2,2,2,2,2,2,1,2,0,0,1,0,0.538425140859043,0.00504475970076479,1.00388171856777,0.00127367705310797
"12568",721557.154989785,211591.953041127,679.470581054688,1,2,2,2,2,1,2,1,2,1,0,1,0,1.14427712881998,0.0051247944593421,0.877386262292632,0.0012956631741652
"12569",723066.535275893,211591.953041127,537.158142089844,1,2,2,2,2,2,2,1,2,0,0,1,0,0.164075432856598,0.1641680621586,1.05046746931636,0.0648531730250453
"12570",724575.915562001,211591.953041127,621.463195800781,1,2,2,2,2,2,2,2,2,0,0,0,0,0.00113221627916001,0.236582205615679,0.42268740795981,0.117578990221398
"12571",726085.295848109,211591.953041127,1518.76916503906,1,2,2,2,2,2,2,2,2,0,0,0,0,0.00106276952959947,0.0884895267155503,0.283969550774529,0.160203707153216
"12572",727594.676134217,211591.953041127,2071.45068359375,1,2,2,2,2,2,2,2,2,0,0,0,0,0.134597604713383,0.00541422466708584,0.37905887682602,0.00135857221757877
"12573",729104.056420325,211591.953041127,2120.76220703125,1,2,2,2,2,1,2,2,2,1,0,0,0,1.09985995798654,0.00547608786605758,0.492734463349849,0.119468839287124
"12574",730613.436706433,211591.953041127,1866.11853027344,1,2,2,2,2,2,2,1,2,0,0,1,0,0.263414730148431,0.0055328280785574,1.26351845249641,0.159848701814232
"12575",732122.816992542,211591.953041127,1639.927734375,1,2,2,2,2,2,2,2,2,0,0,0,0,0.0890613873436111,0.00558410887376469,0.731962660393174,0.124657748293671
"12576",733632.19727865,211591.953041127,1985.33251953125,1,2,2,2,2,2,2,1,2,0,0,1,0,0.000926859583885835,0.126296811037252,1.19469939952195,0.00138454207696848
"12577",735141.577564758,211591.953041127,2197.05297851562,1,2,2,2,2,2,2,2,2,0,0,0,0,0.000930438579178351,0.16297882945433,0.456824024200364,0.00138589514762391
"12578",736650.957850866,211591.953041127,1989.16479492188,1,2,2,2,2,2,2,1,2,0,0,1,0,0.000941278706232473,0.107945348431191,1.45339870277669,0.00138540276910688
