"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"16276",582694.168667848,249116.639406056,717.388244628906,1,1,2,1,2,1,2,1,1,0,0,0,1,0.0000145073627423028,0.0569564084029237,0.000534284679095092,0.0310055995947916
"16277",584203.548953956,249116.639406056,833.624633789062,1,1,2,1,2,1,2,1,1,0,0,0,1,0.0000446823572215579,0.135575363047907,0.000500446668169494,0.0344455750629563
"16278",585712.929240064,249116.639406056,780.744506835938,1,1,2,1,2,1,2,1,1,0,0,0,1,0.0000854505215331414,0.234611769606527,0.00048594958685638,0.0393947475784983
"16279",587222.309526172,249116.639406056,848.723876953125,1,1,2,1,2,1,2,1,1,0,0,0,1,0.000140427539590542,0.038522271032667,0.000490488904609465,0.0448495949631419
"16280",588731.68981228,249116.639406056,769.831787109375,1,1,2,1,2,1,2,1,1,0,0,0,1,0.00021461200452126,0.00490329481550234,0.000514148014865787,0.051485213782275
"16281",590241.070098388,249116.639406056,668.462036132812,1,1,2,1,2,1,2,1,1,0,0,0,1,0.000314859254092123,0.00472843139669911,0.000557397993724944,0.0595417767225779
"16282",591750.450384496,249116.639406056,615.525573730469,1,1,2,1,2,1,2,1,1,0,0,0,1,0.00045047232496205,0.0725331344824077,0.000621099785357418,0.0693009849614225
"16283",593259.830670604,249116.639406056,611.006042480469,1,1,2,1,2,1,2,1,1,0,0,0,1,0.000633896996446068,0.00441411214151504,0.000706508133826695,0.0810876593244796
"16284",594769.210956712,249116.639406056,433.682434082031,9,1,2,1,2,1,2,1,1,0,0,0,1,0.000881470096940624,0.00427416116825054,0.000815275955109077,0.0952684473658542
"16285",596278.59124282,249116.639406056,472.337585449219,1,1,2,1,2,1,2,1,1,0,0,0,1,0.00121411425571853,0.00414530190564463,0.000844175691654279,0.112246240168819
"16286",597787.971528928,249116.639406056,402.480926513672,1,1,2,1,2,1,2,1,1,0,0,0,1,0.00165780192604884,0.00402722029413178,0.000993840890438044,0.132448724869268
"16287",599297.351815036,249116.639406056,408.441772460938,1,1,2,1,2,1,2,1,1,0,0,0,1,0.00224351716431688,0.00391958608886883,0.00117144795136833,0.432849553884161
"16288",600806.732101144,249116.639406056,602.269653320312,1,1,2,1,2,1,2,1,2,0,0,0,0,0.00300624183689737,0.00382205757478554,0.00137983096380751,0.336368802004341
"16289",602316.112387252,249116.639406056,588.557189941406,1,1,2,1,2,1,2,1,2,0,0,0,0,0.0039820612301989,0.0037342855962021,0.00162216442715706,0.00218482746999771
"16290",603825.49267336,249116.639406056,562.119934082031,1,1,2,1,2,1,2,1,2,0,0,0,0,0.00520229420013018,0.0036559169249676,0.00190195653151777,0.00177839652283355
"16291",605334.872959468,249116.639406056,477.643432617188,1,1,2,1,2,1,2,1,2,0,0,0,0,0.0066851791414145,0.00358659700295599,0.00222304369612617,0.00153724985108121
"16292",606844.253245576,249116.639406056,449.004699707031,1,1,2,1,2,1,2,1,2,0,0,0,0,0.00842789238221907,0.00352597210329374,0.00258959036086337,0.00123826888211856
"16293",608353.633531684,249116.639406056,452.43115234375,1,1,2,1,2,1,2,1,2,0,0,0,0,0.0103992517881103,0.00347369096036201,0.0030060997258519,0.000993882331485335
"16294",609863.013817792,249116.639406056,523.306884765625,1,1,2,1,2,1,2,1,2,0,0,0,0,0.0125322161673691,0.00342940592189459,0.00347744281176191,0.000794697294649503
"16295",611372.3941039,249116.639406056,598.18603515625,1,1,2,1,2,1,2,1,2,0,0,0,0,0.0147206817121207,0.0033927736778692,0.00400891466270979,0.000632806437137695
"16296",612881.774390008,249116.639406056,636.143676757812,10,1,2,1,2,1,2,1,2,0,0,0,0,0.0166193413881067,0.00336345562080289,0.00460632752713901,0.0005016623382475
"16297",614391.154676116,249116.639406056,663.008178710938,1,1,2,1,2,1,2,1,2,0,0,0,0,0.0185860924747866,0.00334111789092031,0.00527615126630454,0.000395911804474333
"16298",615900.534962224,249116.639406056,667.14306640625,1,1,2,1,2,1,2,1,2,0,0,0,0,0.0200949350884828,0.00332543115781571,0.00602571098172373,0.000311221943894861
"16299",617409.915248332,249116.639406056,640.369140625,1,1,2,1,2,1,2,1,2,0,0,0,0,0.0210452075238499,0.0033160701879648,0.00686345097734649,0.000244115512720755
"16300",618919.29553444,249116.639406056,598.314147949219,1,1,2,1,2,1,2,1,2,0,0,0,0,0.0213709813120501,0.00331271324500479,0.00779927288191809,0.00019182380838166
